"country,co",untry_l,ong,,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
"USA,United",States,of,America,99 Islands,USA0003272,18,35.0314,-81.4936,Hydro,,,,1910,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,91.592,78.817,61.397,45.196,50.585,
"USA,United",States,of,America,A B Brown,USA0006137,706.8,37.9053,-87.715,Coal,Oil,Gas,,1985.994058,Southern Indiana Gas & Elec Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,2470.211954,0,2491.930026,2135.061032,1942.599978,
"USA,United",States,of,America,A B Paterson,USA0001407,0,30.0158,-90.0256,,,,,,Entergy New Orleans  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,A G Wishon,USA0000293,12.8,37.151,-119.5047,Hydro,,,,1910,Pacific Gas & Electric Co.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,21.245,6.571,2.59,34.315,34.926,
"USA,United",States,of,America,A L Pierce,USA0006635,84,41.4482,-72.8349,Gas,Waste,Oil,,2007,Connecticut Mun Elec Engy Coop,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,9.06,13.17,2.323,4.012,4.333,
"USA,United",States,of,America,A.E.S. Corp.,WRI1026808,454.3,17.9474,-66.1494,Coal,,,,,AES Corporation,Fluor; PREPA,http://www.fluor.com/projects/solid-fueled-power-aes-puerto-rico-epc; http://energia.pr.gov/datos/plantas/,WRI,,,,,,,,
"USA,United",States,of,America,A.J. Mihm Generating Station,USA0061391,0,46.7927,-88.614,,,,,,Upper Michigan Energy Resources Company,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,ABC Coke,USA0056076,3.8,33.5828,-86.7799,Gas,,,,1997,Drummond Company  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,14.022,13.707,2.07,2.989,2.763,
"USA,United",States,of,America,ABD Farms,USA0061525,5,35.7287,-79.7483,Solar,,,,2018,Cypress Creek Renewables,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,0,
"USA,United",States,of,America,ABEC #2 dba West-Star Dairy,USA0061501,0,35.4721,-119.4329,,,,,,ABEC #2 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,ABEC #3 dba Lakeview Dairy,USA0061502,0,35.2143,-119.203,,,,,,ABEC #3 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,ABEC #4 dba CE&S Dairy,USA0061503,0,35.1731,-119.1164,,,,,,ABEC #4 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,ABEC Bidart-Old River LLC,USA0058699,2,35.1697,-119.1056,Biomass,,,,2014,ABEC Bidart-Old River LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.013,8.013,10.198,10.899,12.124,
"USA,United",States,of,America,AC Criminal Courts Complex SPE2  LLC,USA0058798,1.3,39.4375,-74.6906,Solar,,,,2013,Sustainable Power Group  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.947,1.925,2.328,1.916,1.907,
"USA,United",States,of,America,AC Landfill Energy LLC,USA0057845,5.4,39.4175,-74.5422,Waste,,,,2005,AC Landfill Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,21.854,15.862,10.046,10.047,8.24,
"USA,United",States,of,America,ACCC Mays Landing,USA0060802,1.4,39.4606,-74.6809,Solar,,,,2013,Marina Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.024,1.985,
"USA,United",States,of,America,ACE-Stanton A PV,USA0061247,4.1,28.4845,-81.1741,Solar,,,,2017,ACE-Stanton A  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.308,
"USA,United",States,of,America,ACE-Stanton PV,USA0061246,4.8,28.4774,-81.1804,Solar,,,,2017,ACE-Stanton  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,2.755,
"USA,United",States,of,America,ADA Carbon Solutions Red River,USA0057938,20.8,32.0039,-93.3911,Cogeneration,,,,2011,ADA Carbon Solutions (Red River)  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,25.53137,42.43459,58.22425,0,68.92222,
"USA,United",States,of,America,ADS Renewable Energy-Wolf Creek LLC,USA0060184,2.8,32.7755,-83.4348,Waste,,,,2011,ADS Renewable Energy- Wolf Creek  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,20.158,17.964,18.118,
"USA,United",States,of,America,AEP Bluffton NaS,USA0060618,2,40.8928,-83.8863,Storage,,,,2009,Ohio Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
"USA,United",States,of,America,AEP Churubusco NaS,USA0060617,2,41.2326,-85.3149,Storage,,,,2009,Indiana Michigan Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
"USA,United",States,of,America,AEP Jacksonville Solar Project,USA0061388,7.1,30.5236,-81.6864,Solar,,,,2017,AEP Onsite Partners,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,8.259,
"USA,United",States,of,America,AEP Milton NaS,USA0059995,2,38.3622,-82.1256,Storage,,,,2009,Appalachian Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,0,
"USA,United",States,of,America,AES ADA Energy Storage Array,USA0060811,2,40.1218,-75.4172,Storage,,,,2013,Fluence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,-5.046,-3.115,
"USA,United",States,of,America,AES Alamitos LLC,USA0000315,1922,33.7688,-118.1009,Gas,,,,1962.652445,AES Alamitos LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1528.931,1369.722,1052.825,889.395,855.083,
"USA,United",States,of,America,AES ES ALAMITOS  LLC,USA0061204,0,33.7702,-118.0997,,,,,,Fluence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,AES ES GILBERT,USA0061861,0,33.4468,-111.9563,,,,,,AES ES GILBERT  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,AES ES Tait,USA0058826,0,39.7286,-84.2083,,,,,,Fluence,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,-4.427,-5.922,
"USA,United",States,of,America,AES Hawaii,USA0010673,203,21.3034,-158.1065,Coal,Oil,Other,,1992,AES Hawaii Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1374.962973,1481.909044,1258.126033,1512.820004,1395.546954,
"USA,United",States,of,America,AES Huntington Beach LLC,USA0000335,436,33.6439,-117.9792,Gas,,,,1958.5,AES Huntington Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,851.663,912.234,722.497,486.191,408.97,
"USA,United",States,of,America,AES Ilumina,WRI1026807,24,17.9468,-66.1591,Solar,,,,,AES Corporation,PV Tech,http://www.pv-tech.org/news/aes_solar_closes_financing_on_24mw_pv_power_plant_in_puerto_rico_constructi,WRI,,,,,,,,
"USA,United",States,of,America,AES LAWAI SOLAR,USA0061068,0,21.9082,-159.492,,,,,,AES LAWAI SOLAR  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,AES Petersburg,USA0000994,2154.8,38.5281,-87.2525,Coal,Oil,,,1976.75775,Indianapolis Power & Light Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,10505.28775,11266.34537,8966.936012,9230.343021,9341.582954,
"USA,United",States,of,America,AES Redondo Beach LLC,USA0000356,1316.4,33.8504,-118.395,Gas,,,,1964.148587,AES Redondo Beach LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,299.638,249.851,486.888,320.555,514.578,
"USA,United",States,of,America,AES Shady Point LLC,USA0010671,350,35.1931,-94.6458,Coal,Gas,Other,,1990,AES Shady Point LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1872.653,1889.73297,1831.14195,1922.597043,1797.616024,
"USA,United",States,of,America,AES Warrior Run Cogeneration Facility,USA0010678,229,39.5952,-78.7453,Coal,,,,1999,AES WR Ltd Partnership,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1349.561951,1265.667026,1165.822039,984.976003,1108.237006,
"USA,United",States,of,America,AES Warrior Run Energy Storage Project,USA0059949,11,39.5931,-78.7453,Storage,,,,2016,AES Tait LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,-1.332,-2.639,
"USA,United",States,of,America,AFA Solar Farm,USA0057554,5.5,38.9579,-104.8066,Solar,,,,2011,Solar Star Colorado II LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,11.27,11.294,11.205,11.563,11.203,
"USA,United",States,of,America,AIS Solar Project,USA0060986,2.5,42.5019,-71.7378,Solar,,,,2017,WGL Energy Systems  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0.013,3.621,
"USA,United",States,of,America,AL Sandersville LLC,USA0055672,692,33.1189,-82.8608,Gas,,,,2002,SEPG Operating Services  LLC ALS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.529,9.041,7.382,6.974,1.145,
"USA,United",States,of,America,AM Best Farm,USA0058344,5,35.4189,-77.9856,Solar,,,,2013,AM Best Farm,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,4.618,9.102,8.691,9.131,8.689,
"USA,United",States,of,America,AMEA Peaking,USA0056018,98.6,33.1661,-86.2825,Gas,,,,2004,Alabama Municipal Elec Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0.982,29.378,61.493,46.242,25.61,
"USA,United",States,of,America,AMP Napoleon Solar Facility,USA0058082,3.5,41.4067,-84.1108,Solar,,,,2012,American Mun Power-Ohio  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.262,5.147,5.111,4.888,4.905,
"USA,United",States,of,America,ANAD Solar Array,USA0060680,7.4,33.6267,-85.9695,Solar,,,,2017,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,7.668,
"USA,United",States,of,America,ANP Bellingham Energy Project,USA0055211,578,42.1106,-71.4535,Gas,,,,2002.5,ANP Bellingham Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1978.236,2235.439,2510.525,2226.285,1999.288,
"USA,United",States,of,America,ANP Blackstone Energy Project,USA0055212,578,42.0599,-71.5158,Gas,,,,2001,ANP Blackstone Energy Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1872.344,2148.424,2095.413,1524.228,2017.379,
"USA,United",States,of,America,AP North Lake I  LP,USA0059610,20,33.74,-117.0106,Solar,,,,2015,AP North Lake I  LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,15.048,,41.996,
"USA,United",States,of,America,APC1,USA0007708,0,,,,,,,,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,APC2,USA0007876,0,,,,,,,,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,APC3,USA0007877,0,,,,,,,,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,APG Combined Heat and Power Plant,USA0061282,7.9,39.3975,-76.2991,Gas,Oil,,,2017,US Dept of Army  Garrison  APG,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,16.112,50.523,
"USA,United",States,of,America,ASTI,USA0058889,1,38.7614,-122.9753,Solar,,,,2009,Perpetual Energy Systems,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.589,1.44936,1.533,1.541,1.518,
"USA,United",States,of,America,AT&T Anaheim,USA0061154,1.3,33.8364,-117.9169,Gas,,,,2016,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.728,10.401,
"USA,United",States,of,America,AT&T Holger,USA0061153,1.3,37.4176,-121.9445,Gas,,,,2016,Bloom Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,4.229,10.879,
"USA,United",States,of,America,AV Solar Ranch One,USA0057378,253,34.7803,-118.4244,Solar,,,,2014,AV Solar Ranch 1 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,243.697,619.408,614.294,607.949,
"USA,United",States,of,America,AVS Lancaster 1,USA0060085,3.7,34.7489,-117.9736,Solar,,,,2017,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,0,8.472,
"USA,United",States,of,America,Abbot Solar,USA0061936,0,33.6784,-80.2403,,,,,,Abbot Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,Abbott TP 3,USA0003581,2.8,29.594,-98.0407,Hydro,,,,1927,Guadalupe Blanco River Authority,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3.99,2.767,10.238,13.634,11.599,
"USA,United",States,of,America,Aberdeen CT,USA0003338,111,45.4299,-98.494,Gas,Oil,,,2003.918919,NorthWestern Energy - (SD),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,8.04,4.093,7.759,9.083,10.379,
"USA,United",States,of,America,Abilene Energy Center Combustion Turbine,USA0001251,0,38.8831,-97.2014,,,,,,Westar Energy Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0,,,,,
"USA,United",States,of,America,Abiquiu Dam,USA0007789,15.6,36.2399,-106.423,Hydro,,,,1993.230769,Los Alamos County,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,26.034,24.904,13.74,0,50.851,
"USA,United",States,of,America,Acadia Energy Center,USA0055173,1389.2,30.4286,-92.4131,Gas,,,,2002,Cleco Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,3805.772,4515.316,6585.897,6667.548,4767.264,
"USA,United",States,of,America,Ace Solar,USA0061937,0,34.7229,-82.5258,,,,,,ACE Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,,,
"USA,United",States,of,America,Acton Solar Landfill,USA0059543,1.6,42.4733,-71.4306,Solar,,,,2014,Heliovaas LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,2.03,2.022,2.123,1.941,
"USA,United",States,of,America,Actus Lend Lease DMAFB,USA0058632,3,32.1825,-110.8633,Solar,,,,2010,Tesla Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,4.93317,4.56687,4.39659,4.481,4.402,
"USA,United",States,of,America,Acushnet AD Makepeace,USA0058270,4.7,41.7989,-70.7436,Solar,,,,2012,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.867,5.835,5.624,6.089,5.819,
"USA,United",States,of,America,Acushnet Hawes Reed Road,USA0058271,1,41.6622,-71.0425,Solar,,,,2012,Ahana Renewables  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.702,1.63251,1.663,1.763,1.449,
