time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-06-29T02:09:01.390Z,31.789,-115.855,5.62,3.62,ml,0,261.1,,0.433,ci,ci2021518,2016-02-05T00:51:56.810Z,"68km E of Maneadero, B.C., MX",earthquake,,,,6,reviewed,ci,ci
1991-06-28T20:37:12.270Z,37.634,-118.925,5.617,3.5,ml,20,119,0.03243,0.06,nc,nc223383,2016-12-18T11:24:33.290Z,"Long Valley area, California",earthquake,0.39,0.86,,0,reviewed,nc,nc
1991-06-28T17:00:55.560Z,34.253,-117.992,8.282,4.3,ml,0,14.9,,0.105,ci,ci2021473,2016-02-04T22:13:01.950Z,"12km NNE of Sierra Madre, CA",earthquake,,0.015,,22,reviewed,ci,ci
1991-06-28T15:37:58.840Z,34.253,-117.978,11.412,3.95,ml,0,22.9,,0.126,ci,ci696662,2016-02-04T22:35:51.360Z,"12km N of Bradbury, CA",earthquake,,0.023,,11,reviewed,ci,ci
1991-06-28T14:59:32.580Z,34.253,-118.039,8.154,3.53,ml,0,22.9,,0.15,ci,ci2021451,2016-02-05T00:18:01.490Z,"10km N of Sierra Madre, CA",earthquake,,0.085,,24,reviewed,ci,ci
1991-06-28T14:43:54.660Z,34.27,-117.993,8.049,5.8,mw,0,14.3,,0.264,ci,ci2021449,2017-12-01T14:59:23.337Z,"13km NNE of Sierra Madre, CA",earthquake,,0.304,,0,reviewed,ci,ci
1991-06-28T09:26:49.790Z,37.0883333,-122.3423333,15.263,3.6,ml,76,176,0.1099,0.1,nc,nc222263,2016-12-18T11:22:24.500Z,"offshore Northern California",earthquake,0.33,0.38,,0,reviewed,nc,nc
1991-06-20T16:05:00.000Z,33.619,-106.475,0,3.5,ml,,,,,us,usp0004t79,2014-11-07T00:48:46.174Z,"New Mexico",earthquake,,,,,reviewed,exp,gs$
1991-06-17T08:53:16.740Z,42.63,-74.678,5,4,mb,,,,0.6,us,usp0004t2k,2014-11-07T00:48:45.613Z,"New York",earthquake,,,,1,reviewed,us,us
1991-06-16T16:46:53.000Z,47,-76.7,18,4.5,mb,,,,,us,usp0004t1g,2014-11-07T00:48:45.458Z,"southern Quebec, Canada",earthquake,,,,2,reviewed,ott,us
1991-06-14T04:29:37.710Z,40.7866667,-121.5988333,10.718,4.4,ml,25,73,0.06486,0.07,nc,nc220218,2016-12-18T10:41:55.580Z,"Northern California",earthquake,0.3,0.67,,0,reviewed,nc,nc
1991-06-11T22:51:57.420Z,40.3588333,-124.4283333,16.34,3.6,ml,14,248,0.136,0.05,nc,nc219607,2016-12-18T10:36:34.977Z,"offshore Northern California",earthquake,0.93,0.42,,0,reviewed,nc,nc
1991-06-07T13:04:56.530Z,40.4263333,-124.9696667,4.127,3.6,ml,76,240,0.4856,3.23,nc,nc219085,2016-12-18T10:25:21.886Z,"offshore Northern California",earthquake,17.31,22.81,,0,reviewed,nc,nc
1991-06-05T09:24:07.600Z,48.374,-112.007,5,3.6,ml,,,,0.9,us,usp0004shy,2014-11-07T00:48:42.460Z,"western Montana",earthquake,,,,,reviewed,us,but
1991-06-01T04:45:56.370Z,40.4335,-124.2176667,28.478,3.8,ml,13,123,0.07568,0.05,nc,nc217389,2016-12-18T10:03:06.330Z,"Northern California",earthquake,0.61,0.97,,0,reviewed,nc,nc
1991-05-30T22:07:44.000Z,39.2,-99.4,5,3.5,mblg,,,,,us,usp0004sa8,2014-11-07T00:48:38.230Z,"Kansas",earthquake,,,,,reviewed,mac,tul
1991-05-28T11:58:47.060Z,35.7535,-121.323,5.694,3.6,ml,58,179,0.02703,0.09,nc,nc215378,2016-12-18T09:53:52.520Z,"offshore Central California",earthquake,0.27,0.19,,0,reviewed,nc,nc
1991-05-26T19:37:26.560Z,44.806,-111.818,5,3.7,ml,,,,0.3,us,usp0004s46,2014-11-07T00:48:37.579Z,"western Montana",earthquake,,,,,reviewed,us,but
1991-05-23T07:38:40.580Z,39.3015,-111.1548333,16.68,3.56,md,13,84,0.2985,0.09,uu,uu50058160,2018-08-28T04:23:15.940Z,"Utah",earthquake,0.32,0.74,,6,reviewed,uu,uu
1991-05-23T04:08:42.270Z,40.7443333,-124.985,35.001,4.3,ml,83,249,0.5622,0.1,nc,nc214529,2016-12-18T09:41:00.022Z,"offshore Northern California",earthquake,0.82,1.01,,0,reviewed,nc,nc
1991-05-20T15:00:53.430Z,33.781,-116.935,11.73,3.59,ml,0,36.1,,0.123,ci,ci695381,2016-02-05T00:29:01.760Z,"2km E of San Jacinto, CA",earthquake,,0.04,,21,reviewed,ci,ci
1991-05-19T11:49:27.520Z,41.0926667,-124.266,10.995,3.8,ml,7,195,0.4342,0.13,nc,nc213405,2016-12-18T09:32:35.475Z,"offshore Northern California",earthquake,1.95,2.73,,0,reviewed,nc,nc
1991-05-17T18:08:47.000Z,45.5,-74.4,18,4.4,mb,,,,,us,usp0004rs1,2014-11-07T00:48:35.717Z,"Ontario-Quebec border region, Canada",earthquake,,,,1,reviewed,ott,us
1991-05-16T15:43:29.740Z,31.922,-115.412,5.962,3.59,ml,0,256.5,,0.467,ci,ci2018180,2016-02-05T01:02:54.140Z,"41km SW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,6,reviewed,ci,ci
1991-05-10T02:05:54.830Z,37.5518333,-118.4381667,6.189,3.7,ml,30,57,0.005405,0.04,nc,nc212203,2016-12-18T08:59:57.520Z,"Central California",earthquake,0.24,0.53,,0,reviewed,nc,nc
1991-05-06T05:13:49.770Z,40.465,-124.6881667,14.166,3.6,ml,38,234,0.436,0.16,nc,nc211962,2016-12-18T08:48:54.550Z,"offshore Northern California",earthquake,0.8,0.95,,0,reviewed,nc,nc
